,Data,NomeTipoSensore,Valore_interesse,Count_sensori,Indice testuale,Indice numerico
293,1996-02-28,PM10 (SM2005),,,ND,0
294,1996-02-28,Particelle sospese PM2.5,,,ND,0
295,1996-02-29,Biossido di Azoto,204.0151515151515,33.0,Scarsa,2
296,1996-02-29,Biossido di Zolfo,67.36333333333333,30.0,Molto Buona,5
297,1996-02-29,Ozono,55.55,16.0,Molto Buona,5
298,1996-02-29,PM10 (SM2005),,,ND,0
299,1996-02-29,Particelle sospese PM2.5,,,ND,0
300,1996-03-01,Biossido di Azoto,186.5363636363636,33.0,Accettabile,3
301,1996-03-01,Biossido di Zolfo,66.27,30.0,Molto Buona,5
302,1996-03-01,Ozono,65.7625,16.0,Molto Buona,5
303,1996-03-01,PM10 (SM2005),,,ND,0
304,1996-03-01,Particelle sospese PM2.5,,,ND,0
305,1996-03-02,Biossido di Azoto,91.78484848484851,33.0,Buona,4
306,1996-03-02,Biossido di Zolfo,27.566666666666666,30.0,Molto Buona,5
307,1996-03-02,Ozono,72.03125000000001,16.0,Molto Buona,5
308,1996-03-02,PM10 (SM2005),,,ND,0
309,1996-03-02,Particelle sospese PM2.5,,,ND,0
310,1996-03-03,Biossido di Azoto,118.8151515151515,33.0,Accettabile,3
311,1996-03-03,Biossido di Zolfo,34.093333333333334,30.0,Molto Buona,5
312,1996-03-03,Ozono,71.66470588235295,17.0,Molto Buona,5
313,1996-03-03,PM10 (SM2005),,,ND,0
314,1996-03-03,Particelle sospese PM2.5,,,ND,0
315,1996-03-04,Biossido di Azoto,141.39393939393943,33.0,Accettabile,3
316,1996-03-04,Biossido di Zolfo,55.48999999999998,30.0,Molto Buona,5
317,1996-03-04,Ozono,54.97647058823529,17.0,Molto Buona,5
318,1996-03-04,PM10 (SM2005),,,ND,0
319,1996-03-04,Particelle sospese PM2.5,,,ND,0
320,1996-03-05,Biossido di Azoto,141.55757575757573,33.0,Accettabile,3
321,1996-03-05,Biossido di Zolfo,45.51999999999998,30.0,Molto Buona,5
322,1996-03-05,Ozono,60.78235294117647,17.0,Molto Buona,5
323,1996-03-05,PM10 (SM2005),,,ND,0
324,1996-03-05,Particelle sospese PM2.5,,,ND,0
